                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240918"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     2433                  1.3635777648593086E+002                  2.1346799108044050E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.8289830788084416E+000                  4.1627780548347704E-001                  7.8142609716280731E-008                  9.9999999304481302E-001                  9.9999995698254796E-001                  4.1627780548347704E-001                  7.8142609716280731E-008                  9.9999999304481302E-001                  9.9999995698254796E-001                  4.4212541032587680E+000                 -2.9193965953640756E+001                 -1.0837079843903322E+001                  4.4212541032587680E+000                  2.1268172590490066E+000                  4.4190437985406366E+000                 -2.9193965953640756E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3185251754417561E+033                  1.0757640119372313E+034                  1.1611720502952622E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4512558543706068E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4747539999270076E+000                  4.2005918925188244E+000                  6.7344110726989281E-001                  4.2373134484415846E+000                  0.0000000000000000E+000                  1.6518825586951124E+001                  8.1617891885168170E-001                  7.5286413750827696E+000                  6.1822984079069110E-001                  8.4857087214738924E-001                  1.3004737739616794E+000                  6.9714155905501418E-001                  2.8235584553272858E-001                  1.5728817793066380E-004                  9.0107182691231188E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7831235413553621E+000                  3.9335828980537952E+000                                        0                                        5 
                                       5                                     1011                  1.0147200294977029E+003                  2.4514048949949041E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.4985387541130715E+000                  3.8995875298837945E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996272891134E-001                  3.8995875298837945E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996272891134E-001                  4.2590157908566333E+000                 -2.9316766502967379E+001                 -1.1439139835231284E+001                  4.2590157908566333E+000                  1.9850671497913339E+000                  4.2566984290980834E+000                 -2.9316766502967379E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7253654264869705E+033                  1.0209455535935139E+034                  1.1621527103237296E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4407140568075865E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4732223437915106E+000                  4.1962627995963180E+000                  6.7433987307963505E-001                  4.2355159168221004E+000                  0.0000000000000000E+000                  1.6509880794776851E+001                  8.0904262227829149E-001                  7.5267106426817918E+000                  6.1824703610787268E-001                  8.4855383657319405E-001                  1.3005210499806772E+000                  6.9710753620064958E-001                  2.8238031980242656E-001                  9.6362438720323806E-005                  9.0070316841173829E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7829350324714124E+000                  3.9337178369628130E+000                                        0                                        3 
                                      10                                     1011                  3.5396681732974271E+003                  2.8473111252330283E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.1427504186517465E+000                  3.6613455760531022E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996257290036E-001                  3.6613455760531022E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996257290036E-001                  4.1769006782810729E+000                 -2.9304218456155652E+001                 -9.8999999999999986E+001                  4.1769006782810729E+000                  1.7981636432507559E+000                  4.1750811587640202E+000                 -2.9304218456155652E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3802049204640801E+033                  9.8633613120988558E+033                  1.1621444851010658E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4439304960727051E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4732635921241410E+000                  4.1967650158542780E+000                  6.7450848454335377E-001                  4.2351786938946629E+000                  0.0000000000000000E+000                  1.6511440609466035E+001                  8.1053598901321566E-001                  7.5268940886271869E+000                  6.1828353304485950E-001                  8.4851603263654229E-001                  1.3006186058709934E+000                  6.9703198887868911E-001                  2.8245205206850355E-001                  6.4352330541157552E-005                  8.9963252191884134E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7825313061547448E+000                  3.9340980555864085E+000                                        0                                        3 
                                      15                                     1011                  9.8225471384771554E+003                  3.2432173554711521E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.0652624967205275E+000                  3.5991291624623234E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996277658898E-001                  3.5991291624623234E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996277658898E-001                  4.1957521804835878E+000                 -2.9219099706225141E+001                 -1.1263048576175603E+001                  4.1957521804835878E+000                  1.6908651335298654E+000                  4.1943920607342671E+000                 -2.9219099706225141E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4413385980298248E+033                  9.9074724816182894E+033                  1.1620707782530950E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4510220473969451E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4745030580323553E+000                  4.2015924144241064E+000                  6.7444325201184030E-001                  4.2353091589576897E+000                  0.0000000000000000E+000                  1.6517641664893489E+001                  8.1550335068071678E-001                  7.5282691273331661E+000                  6.1837540271797209E-001                  8.4841958105258164E-001                  1.3008619665284602E+000                  6.9683911387154052E-001                  2.8264831862833312E-001                  6.2245043150155430E-005                  8.9670589397584429E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7815409369505026E+000                  3.9350980194940517E+000                                        0                                        3 
                                      20                                     1011                  2.5456360525113170E+004                  3.6391235857092763E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.1208270648741561E+000                  3.6302737823159370E-001                  7.8142609161169219E-008                  9.9999999135320550E-001                  9.9999996290071236E-001                  3.6302737823159370E-001                  7.8142609161169219E-008                  9.9999999135320550E-001                  9.9999996290071236E-001                  4.2022038026523543E+000                 -2.9210361196453576E+001                 -9.8999999999999986E+001                  4.2022038026523534E+000                  1.6723640847140959E+000                  4.2009197392537345E+000                 -2.9210361196453576E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4665754844746182E+033                  9.9311930703804225E+033                  1.1621964569801348E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4492235114433476E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4744647474597370E+000                  4.2009919014789601E+000                  6.7421961668450425E-001                  4.2357564296123620E+000                  0.0000000000000000E+000                  1.6517558380148646E+001                  8.1540337126672158E-001                  7.5283878731318508E+000                  6.1860850029427039E-001                  8.4817490827856734E-001                  1.3014793882726396E+000                  6.9634977104875195E-001                  2.8314697590552512E-001                  6.3013306278360924E-005                  8.8936330611317765E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7790031523244441E+000                  3.9376646847975798E+000                                        0                                        5 
                                      25                                     1011                  6.4358291051347303E+004                  4.0350298159474001E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.1240101906494102E+000                  3.6302737823159370E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996261823709E-001                  3.6302737823159370E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996261823709E-001                  4.2025063781502103E+000                 -2.9238253739829570E+001                 -9.8999999999999986E+001                  4.2025063781502103E+000                  1.6562798841849318E+000                  4.2012699300411640E+000                 -2.9238253739829570E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4658834377129405E+033                  9.9265618559049683E+033                  1.1626554904152776E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4405922028851932E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4739974102777138E+000                  4.2013126521231348E+000                  6.7531466637063742E-001                  4.2335663302400963E+000                  0.0000000000000000E+000                  1.6514673419731619E+001                  8.1338239271806678E-001                  7.5278495628975621E+000                  6.1918733603079046E-001                  8.4756821603781762E-001                  1.3030132662570522E+000                  6.9513638638997322E-001                  2.8438254622950265E-001                  6.4676797513504037E-005                  8.7183614731450951E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7726775034383184E+000                  3.9440611679212458E+000                                        0                                        5 
                                      30                                     1007                  1.6115874281838615E+005                  4.4309360461855238E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.1269740575517204E+000                  3.6613455760531022E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996188087159E-001                  3.6613455760531022E-001                  7.8142609161169219E-008                  9.9999999107127091E-001                  9.9999996188087159E-001                  4.2037968945363904E+000                 -2.9294938906000748E+001                 -1.1138109839567303E+001                  4.2037968945363904E+000                  1.6324706829238955E+000                  4.2026299736062498E+000                 -2.9294938906000748E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4650644643323745E+033                  9.9156488417462823E+033                  1.1641238702214597E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4204711150390759E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4730282362413831E+000                  4.2027603054528644E+000                  6.7797684110816325E-001                  4.2282419807650440E+000                  0.0000000000000000E+000                  1.6508417597443891E+001                  8.0907616275144623E-001                  7.5267213116504514E+000                  6.2063437457578441E-001                  8.4605695104400691E-001                  1.3068518732579808E+000                  6.9211385588548602E-001                  2.8745574153495496E-001                  6.8471160011121759E-005                  8.3180898106479644E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7569202316412884E+000                  3.9599895248942811E+000                                        0                                        5 
                                      35                                     1002                  4.0202924295934429E+005                  4.8268422764236485E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.1232376334747167E+000                  3.6302737823159370E-001                  7.8142609161169219E-008                  9.9999999041342347E-001                  9.9999996024050941E-001                  3.6302737823159370E-001                  7.8142609161169219E-008                  9.9999999041342347E-001                  9.9999996024050941E-001                  4.2074683276616582E+000                 -2.9388592918754210E+001                 -1.1740169830895265E+001                  4.2074683276616582E+000                  1.5953687592129593E+000                  4.2064061045508101E+000                 -2.9388592918754210E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4631254965733765E+033                  9.8895604156646311E+033                  1.1732902102309044E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3679824559604682E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4710722051800644E+000                  4.2066327296486188E+000                  6.8382511532867696E-001                  4.2165454323240166E+000                  0.0000000000000000E+000                  1.6496021303119459E+001                  8.0079441014708863E-001                  7.5247019240845265E+000                  6.2432660860775779E-001                  8.4223474298527046E-001                  1.3166712998422989E+000                  6.8446944006386945E-001                  2.9520674522641932E-001                  7.6459179873385739E-005                  7.4760446455764398E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.7175486629816685E+000                  3.9997511817927371E+000                                        0                                        5 
                                      40                                      999                  1.0013921258700930E+006                  5.2227485066617723E+000                  1.4000000000000000E+001                  3.4444633946038905E+001                 -9.8999999999999986E+001                  5.2045097057736269E+000                  3.7155455520838182E-001                  7.8142609438724975E-008                  9.9999999003751061E-001                  9.9999995664733377E-001                  3.7155455520838182E-001                  7.8142609438724975E-008                  9.9999999003751061E-001                  9.9999995664733377E-001                  4.2178725872018417E+000                 -2.9463071124875590E+001                 -9.8999999999999986E+001                  4.2178725872018417E+000                  1.5452092691054102E+000                  4.2169487768669569E+000                 -2.9463071124875590E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4648310040315805E+033                  9.8384820414502588E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4678502180195521E+000                  4.2173614398372283E+000                  6.9563344474400712E-001                  4.1929287734933567E+000                  0.0000000000000000E+000                  1.6476211985794688E+001                  7.8846620051792404E-001                  7.5223828975499023E+000                  6.3353480033449028E-001                  8.3290419568416973E-001                  1.3413077474039172E+000                  6.6580834753049900E-001                  3.1405137092288593E-001                  9.0278442476007621E-005                  6.0262546762274776E-003                  3.4468833607860802E-003                  9.3805276451495393E-003                  9.6181384592233528E+000                  4.0999402879955698E+000                                        0                                        5 
