                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     450                                     1422                  1.4000000000000000E+001                  2.0000000000000000E-002                  1.2031884283084035E+007                  6.7987331068200883E+003                  1.3272315466879327E+004                  4.1965485201257630E+004                  3.8744128251866442E+001                 -2.9033190231983870E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1583352319281108E-001                  5.9233966765511091E-002                  2.4231990832433543E-004                  6.8062237539821542E-004                  1.9932345837420973E-002                  1.3999797896658960E+001                  0.0000000000000000E+000                  7.1094728506895164E+000                  2.0370331668573472E-004                  6.5506769954635393E+000                  7.7584678734665319E-002                  7.1760719077632554E-002                  8.7103593920307171E-002                  4.5915073781662125E-002                  2.5964034261430706E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4506728031757206E+005                  2.8387444501871341E+003                  3.3360266965862247E+006                  4.1899010583797906E+004                  3.6593402661908905E+004                  5.0510906865264533E+003                  2.4933047709050952E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.7969739145185275E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240918"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     logM                                  r_div_R                                       xm                                 xr_div_R                             log_xr_div_R                                 pressure                                     prad                                     pgas                                       pp                                      cno                                tri_alpha                                        x                                        y                                        z                               luminosity                                       Lr 
                                       1                  1.3999797896658960E+001                  1.5882058936542609E+000                  4.1229550050526269E+000                 -1.0266412523121591E+001                  2.2213949175381518E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661782857E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.6649259313845957E+002                  7.8261792466630681E+001                  8.8230800671828888E+001                  7.9400125868321150E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257630E+004                  1.6064387735041423E+038 
                                       2                  1.3999797896651961E+001                  1.5882054400243941E+000                  4.1229798809000506E+000                 -1.0266241816147968E+001                  2.2215471249872500E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661780685E+000                  9.9999895547917661E-001                  6.9998989483295014E-012                  1.0445208234379541E-006                 -5.9810828975562886E+000                  1.6655095412433553E+002                  7.8279725473201253E+001                  8.8271228651134294E+001                  7.9431341820921816E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257659E+004                  1.6064387735041433E+038 
                                       3                  1.3999797896638004E+001                  1.5882045358708827E+000                  4.1230130098279485E+000                 -1.0266014585938002E+001                  2.2217497812903999E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661776355E+000                  9.9999687359312128E-001                  2.0957184768441345E-011                  3.1264068787021399E-006                 -5.5049545024280890E+000                  1.6662869049522180E+002                  7.8303614508665149E+001                  8.8325075986556641E+001                  7.9472912811401619E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257652E+004                  1.6064387735041431E+038 
                                       4                  1.3999797896624045E+001                  1.5882036321846769E+000                  4.1230577688760963E+000                 -1.0265707806362029E+001                  2.2220234830344974E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661772025E+000                  9.9999479278740500E-001                  3.4914470588553191E-011                  5.2072125949746110E-006                 -5.2833946910126937E+000                  1.6673373658547933E+002                  7.8335901520509040E+001                  8.8397835064970280E+001                  7.9529071603369674E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257659E+004                  1.6064387735041433E+038 
                                       5                  1.3999797896600279E+001                  1.5882020946407038E+000                  4.1231141486891643E+000                 -1.0265321712488847E+001                  2.2223680991199730E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661764651E+000                  9.9999125248627563E-001                  5.8678166237774656E-011                  8.7475137244084087E-006                 -5.0581153674583552E+000                  1.6686609362242052E+002                  7.8376590136895999E+001                  8.8489503485524509E+001                  7.9599806002709998E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257667E+004                  1.6064387735041435E+038 
                                       6                  1.3999797896576517E+001                  1.5882005584467125E+000                  4.1231986914705736E+000                 -1.0264743519092452E+001                  2.2228845183631827E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661757281E+000                  9.9998771530608865E-001                  8.2441861886996107E-011                  1.2284693911387092E-005                 -4.9106356600428036E+000                  1.6706463198690568E+002                  7.8437643230296842E+001                  8.8626988756608824E+001                  7.9705851700411386E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257659E+004                  1.6064387735041433E+038 
                                       7                  1.3999797896528991E+001                  1.5881974900976030E+000                  4.1233128969744426E+000                 -1.0263963774694531E+001                  2.2235815529590233E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661742538E+000                  9.9998065028291960E-001                  1.2996925318543905E-010                  1.9349717080422335E-005                 -4.7133253805835533E+000                  1.6733298291701414E+002                  7.8520192964926281E+001                  8.8812789952087840E+001                  7.9849087373166078E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257659E+004                  1.6064387735041433E+038 
                                       8                  1.3999797896480162E+001                  1.5881943432886614E+000                  4.1234864057636544E+000                 -1.0262782296880738E+001                  2.2246391231186502E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661727390E+000                  9.9997340465401452E-001                  1.7879849751755701E-010                  2.6595345985507949E-005                 -4.5751943554611092E+000                  1.6774095958089944E+002                  7.8645774440365585E+001                  8.9095185140533857E+001                  8.0066610379487028E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257667E+004                  1.6064387735041435E+038 
                                       9                  1.3999797896382502E+001                  1.5881880665647155E+000                  4.1237039543302156E+000                 -1.0261305712598757E+001                  2.2259630356922573E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.1461217661697094E+000                  9.9995895245183497E-001                  2.7645698618179295E-010                  4.1047548164983452E-005                 -4.3867127788665679E+000                  1.6825308489471047E+002                  7.8803514670184711E+001                  8.9449570224525772E+001                  8.0339298983005087E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  4.1965485201257667E+004                  1.6064387735041437E+038 
                                      10                  1.3999797896296286E+001                  1.5881825439770694E+000                  4.1240267267437147E+000                 -1.0259125942204848E+001                  2.2279223565618174E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661670349E+000                  9.9994623682666384E-001                  3.6267112070568859E-010                  5.3763173336163673E-005                 -4.2695151052497708E+000                  1.6901387405735647E+002                  7.9038133779669863E+001                  8.9975740277686597E+001                  8.0743547038920302E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257674E+004                  1.6064387735041438E+038 
                                      11                  1.3999797896109362E+001                  1.5881706294545284E+000                  4.1244108969995503E+000                 -1.0256545996401165E+001                  2.2302480657314372E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661612362E+000                  9.9991880447591475E-001                  5.4959557166457748E-010                  8.1195524085277466E-005                 -4.0904679106435831E+000                  1.6992139535112116E+002                  7.9318292832979765E+001                  9.0603102518141398E+001                  8.1224638711753996E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257681E+004                  1.6064387735041442E+038 
                                      12                  1.3999797895970504E+001                  1.5881618304595209E+000                  4.1248760254432071E+000                 -1.0253446452355192E+001                  2.2330530272957256E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661569287E+000                  9.9989854589145810E-001                  6.8845373523403765E-010                  1.0145410854194878E-004                 -3.9937303608438710E+000                  1.7102241204692803E+002                  7.9658820596227656E+001                  9.1363591450700355E+001                  8.1806413809592732E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257688E+004                  1.6064387735041444E+038 
                                      13                  1.3999797895714149E+001                  1.5881457002945065E+000                  4.1254024248042569E+000                 -1.0249965415039895E+001                  2.2362157052914715E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661489762E+000                  9.9986140927171474E-001                  9.4480726797765653E-010                  1.3859072828521421E-004                 -3.8582658230377600E+000                  1.7227240047256120E+002                  8.0045969585378018E+001                  9.2226430887183184E+001                  8.2464763387711616E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257696E+004                  1.6064387735041446E+038 
                                      14                  1.3999797895521883E+001                  1.5881336980841261E+000                  4.1259845394002435E+000                 -1.0246153155369653E+001                  2.2396962837232839E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661430119E+000                  9.9983377737293955E-001                  1.1370724175353710E-009                  1.6622262706049158E-004                 -3.7793098581773852E+000                  1.7365859528781044E+002                  8.0476286470757572E+001                  9.3182308817052885E+001                  8.3191835149166738E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257703E+004                  1.6064387735041450E+038 
                                      15                  1.3999797895216700E+001                  1.5881148114416592E+000                  4.1266071855929649E+000                 -1.0242112181938102E+001                  2.2434029512782634E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661335446E+000                  9.9979029744568171E-001                  1.4422551946111078E-009                  2.0970255431830865E-004                 -3.6783962795032288E+000                  1.7514710016155698E+002                  8.0939126414717194E+001                  9.4207973746839770E+001                  8.3969527145964040E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257710E+004                  1.6064387735041454E+038 
                                      16                  1.3999797894987813E+001                  1.5881007760533623E+000                  4.1274935332745004E+000                 -1.0236435742890217E+001                  2.2486445802007915E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661264440E+000                  9.9975798706901498E-001                  1.6711422774179101E-009                  2.4201293098503857E-004                 -3.6161614286252921E+000                  1.7727381059902933E+002                  8.1602582538552269E+001                  9.5671228060477063E+001                  8.5074261597601213E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257725E+004                  1.6064387735041459E+038 
                                      17                  1.3999797894453744E+001                  1.5880684469005166E+000                  4.1284551750899912E+000                 -1.0230351669077878E+001                  2.2542987635805174E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661098766E+000                  9.9968356722916152E-001                  2.2052121373004507E-009                  3.1643277083852236E-004                 -3.4997185458527893E+000                  1.7959687001366706E+002                  8.2328550786768204E+001                  9.7268319226898868E+001                  8.6274471414591017E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257747E+004                  1.6064387735041467E+038 
                                      18                  1.3999797894154662E+001                  1.5880505913372311E+000                  4.1296398456640668E+000                 -1.0222994795277243E+001                  2.2611998304887542E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217661005985E+000                  9.9964246713001492E-001                  2.5042912588346730E-009                  3.5753286998511615E-004                 -3.4466840249204265E+000                  1.8247351185426538E+002                  8.3231774326083141E+001                  9.9241737528182227E+001                  8.7748405956283645E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257761E+004                  1.6064387735041472E+038 
                                      19                  1.3999797893422224E+001                  1.5880075888937939E+000                  4.1311396493414207E+000                 -1.0213837401372382E+001                  2.2698668270649631E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217660778773E+000                  9.9954349064679682E-001                  3.2367299238164413E-009                  4.5650935320318395E-004                 -3.3405503199852835E+000                  1.8615162300476138E+002                  8.4389491051201418E+001                  1.0176213195355996E+002                  8.9618299428895119E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257790E+004                  1.6064387735041484E+038 
                                      20                  1.3999797892836275E+001                  1.5879738958093623E+000                  4.1327912312965456E+000                 -1.0203988449747440E+001                  2.2793011104079768E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217660597003E+000                  9.9946594787735765E-001                  3.8226808558018561E-009                  5.3405212264237567E-004                 -3.2724163544484415E+000                  1.9023968160085008E+002                  8.5683006226145451E+001                  1.0455667537470464E+002                  9.1673903721214707E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257819E+004                  1.6064387735041495E+038 
                                      21                  1.3999797891957348E+001                  1.5879244752397097E+000                  4.1347485771740429E+000                 -1.0192574779833393E+001                  2.2903631820125665E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217660324345E+000                  9.9935222005384083E-001                  4.7016072537799782E-009                  6.4777994615921556E-004                 -3.1885725009186205E+000                  1.9514758538845513E+002                  8.7241691828660748E+001                  1.0790589355979439E+002                  9.4115137917816993E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257856E+004                  1.6064387735041508E+038 
                                      22                  1.3999797891078423E+001                  1.5878763203446882E+000                  4.1370016297258800E+000                 -1.0179793852890837E+001                  2.3029280804614518E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.1461217660051690E+000                  9.9924141727979188E-001                  5.5805336517580995E-009                  7.5858272020817017E-004                 -3.1199970543351951E+000                  2.0087601326632534E+002                  8.9070992012764791E+001                  1.1180502125356057E+002                  9.6926048960979170E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  4.1965485201257892E+004                  1.6064387735041522E+038 
                                      23                  1.3999797889906519E+001                  1.5878139520264349E+000                  4.1392168053482177E+000                 -1.0167520319748874E+001                  2.3151465717893736E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217659688148E+000                  9.9909792816209253E-001                  6.7524355157289300E-009                  9.0207183790743696E-004                 -3.0447588753577528E+000                  2.0660773268954114E+002                  9.0906930036088610E+001                  1.1570080265345253E+002                  9.9704357714186140E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201257943E+004                  1.6064387735041540E+038 
                                      24                  1.3999797889027594E+001                  1.5877684622761787E+000                  4.1420227848438351E+000                 -1.0152485152795359E+001                  2.3303735372735930E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.1461217659415492E+000                  9.9899328410841504E-001                  7.6313619137070530E-009                  1.0067158915849641E-003                 -2.9970930757482179E+000                  2.1398017446299758E+002                  9.3286953343583249E+001                  1.2069322111941432E+002                  1.0321657124538858E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  4.1965485201257979E+004                  1.6064387735041556E+038 
                                      25                  1.3999797887269743E+001                  1.5876805380616459E+000                  4.1456679145276141E+000                 -1.0133504354358360E+001                  2.3498951279140625E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217658870182E+000                  9.9879105540694912E-001                  9.3892147096632938E-009                  1.2089445930508263E-003                 -2.9175936027651082E+000                  2.2381806043898004E+002                  9.6472032493315467E+001                  1.2734602794566457E+002                  1.0782771010627355E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201258052E+004                  1.6064387735041584E+038 
                                      26                  1.3999797885511891E+001                  1.5875963237492208E+000                  4.1486266881020422E+000                 -1.0118532434794037E+001                  2.3655304016342993E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217658324869E+000                  9.9859739799045999E-001                  1.1147067505619538E-008                  1.4026020095399857E-003                 -2.8530655432131509E+000                  2.3202266011993072E+002                  9.9137171251862284E+001                  1.3288548886806845E+002                  1.1160982501952886E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201258125E+004                  1.6064387735041612E+038 
                                      27                  1.3999797884339989E+001                  1.5875420574190207E+000                  4.1509501014962567E+000                 -1.0107083632152596E+001                  2.3776515478158866E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217657961329E+000                  9.9847262820193061E-001                  1.2318969369590367E-008                  1.5273717980693888E-003                 -2.8160552326256014E+000                  2.3858962128589877E+002                  1.0128151203164965E+002                  1.3730810925424913E+002                  1.1459121578028188E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201258169E+004                  1.6064387735041629E+038 
                                      28                  1.3999797883168087E+001                  1.5874891833953502E+000                  4.1538010598503172E+000                 -1.0093374324011155E+001                  2.3923492400563302E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1461217657597786E+000                  9.9835107461559991E-001                  1.3490871233561196E-008                  1.6489253844001442E-003                 -2.7827989961908077E+000                  2.4680232125329695E+002                  1.0397621637998013E+002                  1.4282610487331684E+002                  1.1826623016727840E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  4.1965485201258220E+004                  1.6064387735041646E+038 
